AdjustedWkt,Description
POINT (138.63933333333333 78.063666666666663),KARA SEA ARCTIC OCEAN LAPTEV SEA  CHARTS RUS 10102 10104  1. SPECIAL WORKS IN PROGRESS TILL 30 SEP BY R/V PROFESSOR LOGACHEV  TOWING DEVICE WITH CABLE 1500 METERS LENGTH BY THE ROUTE  81-30.66N 073-20.88E 81-41.04N 082-28.34E 81-10.03N 098-30.02E  80-00.03N 103-30.03E 78-03.82N 138-38.36E  THREE MILE ASTERN ONE MILE ABEAM AND AHEAD BERTH REQUESTED  2. CANCEL THIS MSG 01 OCT 20
POINT (141.30833333333334 45.533333333333331),NAVAREA XIII 103/20   SEA OF JAPAN   CHART RUS 62012   1. GUNNERY EXERCISES 23 28 29 SEP 0000 TO 0800 UTC   IN AREA WITHIN 5 MILE RADIUS OF 45-32.0N 141-18.5E   2. CANCEL THIS MESSAGE 290900 UTC SEP 20
"POLYGON ((55.366666666666667 76.433333333333337, 45.333333333333336 70.433333333333337, 46.833333333333336 70.433333333333337, 50.5 72.05, 49.533333333333331 72.3, 49.416666666666664 72.533333333333331, 50.583333333333336 72.25, 56.766666666666666 76.266666666666666, 55.366666666666667 76.433333333333337))",BARENTS SEA  CHART RUS 10100  1. SPECIAL ACTIVITIES 0200 TO 2100 UTC 21 TO 25 SEP  IN AREAS DANGEROUS TO NAVIGATION BOUNDED BY  A. 72-18N 049-32E 72-03N 050-30E 70-26N 046-50E 70-26N 045-20E  B. 76-26N 055-22E 76-16N 056-46E 72-15N 050-35E 72-32N 049-25E  2. CANCEL THIS MSG 252200 UTC SEP 20
"POLYGON ((55.366666666666667 76.433333333333337, 45.333333333333336 70.433333333333337, 46.833333333333336 70.433333333333337, 50.5 72.05, 49.533333333333331 72.3, 49.416666666666664 72.533333333333331, 50.583333333333336 72.25, 56.766666666666666 76.266666666666666, 55.366666666666667 76.433333333333337))",BARENTS SEA  CHART RUS 10100  1. SPECIAL ACTIVITIES 0200 TO 2100 UTC 26 SEP  IN AREAS DANGEROUS TO NAVIGATION BOUNDED BY  A. 72-18N 049-32E 72-03N 050-30E 70-26N 046-50E 70-26N 045-20E  B. 76-26N 055-22E 76-16N 056-46E 72-15N 050-35E 72-32N 049-25E  2. CANCEL THIS MSG 262200 UTC SEP 20  6
"POLYGON ((34 70, 34 69.75, 38.166666666666664 69.666666666666671, 57.833333333333336 69.666666666666671, 57.833333333333336 70.333333333333329, 38.166666666666664 70.333333333333329, 38 70.8, 36 70.8, 34 70))",BARENTS SEA  CHART RUS 10100  1. MISSILE FIRING FROM 0600 TO 2100 UTC 22 TO 26 SEP  NAVIGATION PROHIBITED IN TERRITORIAL WATERS DANGEROUS OUTSIDE IN AREA  70-48N 036-00E 70-48N 038-00E 70-20N 038-10E 70-20N 057-50E  69-40N 057-50E 69-40N 038-10E 69-45N 034-00E 70-00N 034-00E  2. CANCEL THIS MSG 262200 UTC SEP 20
POINT (160 45),NAVAREA XIII 106/20   NORTH WEST PACIFIC   CHART RUS 61226   1. RESEARCH WORKS BY VESSEL MIRAI 29 SEP TO 02 OCT IN POSITIONS   A. 45-00N 160-00E   B. 46-00N 160-00E   C. 47-00N 160-00E   2. CANCEL THIS MESSAGE 03 OCT 20
POINT (160 46),NAVAREA XIII 106/20   NORTH WEST PACIFIC   CHART RUS 61226   1. RESEARCH WORKS BY VESSEL MIRAI 29 SEP TO 02 OCT IN POSITIONS   A. 45-00N 160-00E   B. 46-00N 160-00E   C. 47-00N 160-00E   2. CANCEL THIS MESSAGE 03 OCT 20
POINT (160 47),NAVAREA XIII 106/20   NORTH WEST PACIFIC   CHART RUS 61226   1. RESEARCH WORKS BY VESSEL MIRAI 29 SEP TO 02 OCT IN POSITIONS   A. 45-00N 160-00E   B. 46-00N 160-00E   C. 47-00N 160-00E   2. CANCEL THIS MESSAGE 03 OCT 20
POINT (141.84166666666667 46.86),NAVAREA XIII 108/20   TATARSKIY PROLIV ZALIV NEVEL'SKOGO   CHART RUS 63030   1. DRILLING RIG SEVERNOYE SIYANIYE IN 46-51.6N 141-50.5E   2000 METRE BERTH REQUESTED   2. CANCEL 98/20 AND THIS PARA
POINT (141.90166666666667 46.911666666666669),NAVAREA XIII 109/20   TATARSKIY PROLIV ZALIV NEVEL'SKOGO   CHART RUS 63030   1. DRILLING RIG POLYRNAYA ZVEZDA IN 46-54.7N 141-54.1E   2000 METRE BERTH REQUESTED   2. CANCEL 99/20 AND THIS PARA
"POLYGON ((36.000000000000128 67.9833333333334, 50.833333333333165 67.9833333333334, 50.833333333333165 69.500000000000114, 36.000000000000128 69.500000000000114, 36.000000000000128 67.9833333333334))",BARENTS SEA AND POMORSKY STRAIT CHYOSHSKAYA GUBA  CHART RUS 10100  1. MISSILE FIRING 282300 TO 291700 UTC SEP 292300 TO 301700 UTC SEP  302300 SEP TO 011700 UTC OCT 012300 TO 021700 UTC OCT  NAVIGATION PROHIBITED IN TERRITORIAL WATERS DANGEROUS OUTSIDE IN AREAS  A. 69-30.0N 036-30.0E 69-30.0N 039-30.0E 67-59.0N 040-00.0E  THEN COASTAL LINE TO 69-09.0N 036-00.0E  B. 68-09.0N 046-22.0E 68-42.0N 048-40.0E 68-21.0N 050-50.0E  THEN COASTAL LINE TO 68-09.0N 046-22.0E  2. CANCEL THIS MSG 021800 UTC OCT 20
"LINESTRING (178.12666666666667 75.231666666666669, 180 75.189404409685125)",EAST SIBERIAN SEA AND CHUKCHI SEA  CHARTS RUS 11151 11152 11153 11156  1. SPECIAL WORKS BY R/V PROFESSOR LOGACHEV  TOWING 1500 METRE CABLE 01 TO 20 OCT ALONG ROUTE  75-13.9N 178-07.6E 75-00.9N 175-18.5W 71-06.8N 169-27.3W 67-04.9N 169-09.7W  THREE MILE ASTERN AND ONE MILE ABEAM AND AHEAD BERTH REQUESTED  2. CANCEL THIS MSG 21 OCT 20
"LINESTRING (-179.999999 75.189404409685125, -175.30833333333334 75.015, -169.455 71.11333333333333, -169.16166666666666 67.081666666666663)",EAST SIBERIAN SEA AND CHUKCHI SEA  CHARTS RUS 11151 11152 11153 11156  1. SPECIAL WORKS BY R/V PROFESSOR LOGACHEV  TOWING 1500 METRE CABLE 01 TO 20 OCT ALONG ROUTE  75-13.9N 178-07.6E 75-00.9N 175-18.5W 71-06.8N 169-27.3W 67-04.9N 169-09.7W  THREE MILE ASTERN AND ONE MILE ABEAM AND AHEAD BERTH REQUESTED  2. CANCEL THIS MSG 21 OCT 20
"POLYGON ((36 69.15, 40 67.983333333333334, 39.5 69.5, 36.5 69.5, 36 69.15))",BARENTS SEA  CHART RUS 10100  1. MISSILE FIRING 052300 TO 061700 UTC OCT  062300 TO 071700 UTC OCT 072300 TO 081700 UTC OCT 082300 TO 091700 UTC OCT  NAVIGATION PROHIBITED IN TERRITORIAL WATERS DANGEROUS OUTSIDE  IN AREA BOUNDED BY 69-30.0N 036-30.0E 69-30.0N 039-30.0E 67-59.0N 040-00.0E  THEN COASTAL LINE TO 69-09.0N 036-00.0E  2. CANCEL THIS MSG 091800 UTC OCT 20  5
"POLYGON ((133.76333333333332 42.098333333333336, 132.76666666666668 42.555, 131.92499999999998 42.605000000000004, 131.41833333333332 42.593333333333334, 131.225 42.466666666666669, 131.20499999999998 42.073333333333338, 132.10833333333332 41.37166666666667, 133.325 41.055, 133.76333333333332 42.098333333333336))",NAVAREA XIII 112/20   SEA OF JAPAN   CHART RUS 61001   1. MISSILE EXERCISES FOR 11 HOURS FROM 2100 UTC 19 TO 23 OCT   IN AREA BOUNDED BY 42-28-00N 131-13-30E 42-35-36N 131-25-06E   42-36-18N 131-55-30E 42-33-18N 132-46-00E 42-05-54N 133-45-48E   41-03-18N 133-19-30E 41-22-18N 132-06-30E 42-04-24N 131-12-18E   2. CANCEL THIS MESSAGE 240900 OCT 20
"POLYGON ((54 79.666666666666671, 52 79.323333333333338, 54.966666666666669 78.733333333333334, 56.93333333333333 79.11666666666666, 54 79.666666666666671))",BARENTS SEA NORTHERN PART  CHART RUS 11123  1. MISSILE AND ARTILLERY FIRING 0500 TO 1900 UTC DAILY 12 TO 15 OCT  IN AREA DANGEROUS TO NAVIGATION BOUNDED BY  79-40.0N 054-00.0E 79-07.0N 056-56.0E 78-44.0N 054-58.0E 79-19.4N 052-00.0E  2. CANCEL THIS MSG 152000 UTC OCT 20  4
"POLYGON ((41.466666666666669 80.283333333333331, 40.9 77.95, 47.1 77.733333333333334, 51.833333333333336 77.85, 51.3 79.916666666666671, 50.966666666666669 80.1, 50 80.5, 49.31666666666667 80.808333333333337, 49.166666666666664 80.86666666666666, 46.633333333333333 80.88333333333334, 44.9 80.6, 41.466666666666669 80.283333333333331))",BARENTS SEA NORTHERN PART  CHART RUS 10101  1. MISSILE FIRING 0500 TO 1900 UTC DAILY 14 TO 16 OCT  NAVIGATION PROHIBITED IN TERRITORIAL WATERS DANGEROUS OUTSIDE  IN AREA BOUNDED BY 80-53.0N 046-38.0E 80-52.0N 049-10.0E  80-48.5N 049-19.0E THEN COASTAL LINE TO 80-30.0N 050-00.0E  80-06.0N 050-58.0E THEN COASTAL LINE TO 79-55.0N 051-18.0E  77-51.0N 051-50.0E 77-44.0N 047-06.0E 77-57.0N 040-54.0E  80-17.0N 041-28.0E 80-36.0N 044-54.0E EXCEPTING ADJOINING ISLANDS  2. CANCEL THIS MSG 162000 UTC OCT 20
"POLYGON ((34 70, 34 69.8, 38 69.95, 38 70.8, 36 70.8, 34 70))",BARENTS SEA  CHART RUS 10100  1. ROCKET LAUNCHING 1200 TO 2400 UTC DAILY 14 TO 16 OCT  IN AREA DANGEROUS TO NAVIGATION BOUNDED BY  70-48N 036-00E 70-48N 038-00E 69-57N 038-00E 69-48N 034-00E 70-00N 034-00E  2. CANCEL THIS MSG 170100 UTC OCT 20
"POLYGON ((34.6 69.566666666666663, 34.633333333333333 69.4, 35 69.358333333333334, 37.818333333333335 69.306666666666672, 44.31666666666667 69.306666666666672, 44.125 70.186666666666667, 37.713333333333331 69.838333333333338, 35 69.733333333333334, 34.6 69.566666666666663))",BARENTS SEA  CHART RUS 10100  1. MISSILE FIRING 0300 TO 1700 UTC DAILY 13 TO 16 OCT NAVIGATION PROHIBITED  IN TERRITORIAL WATERS DANGEROUS OUTSIDE IN AREA BOUNDED BY  69-44.0N 035-00.0E 69-50.3N 037-42.8E 70-11.2N 044-07.5E 69-18.4N 044-19.0E  69-18.4N 037-49.1E 69-21.5N 035-00.0E 69-24.0N 034-38.0E 69-34.0N 034-36.0E  2. CANCEL THIS MSG 161800 UTC OCT 20
"POLYGON ((56.18333333333333 69.316666666666663, 56.176666666666669 68.93, 57.668333333333337 68.856666666666669, 57.94 69.196666666666673, 56.59 69.38, 56.18333333333333 69.316666666666663))",BARENTS SEA  CHART RUS 11129  1. SEISMIC SURVEY 13 TO 25 OCT BY R/V ACADEMIC LAZAREV  TOWING STREAMER 6400 METRES LONG IN AREA BOUNDED BY  69-19.0N 056-11.0E 69-22.8N 056-35.4E 69-11.8N 057-56.4E  68-51.4N 057-40.1E 68-55.8N 056-10.6E  SEVEN MILE ASTERN AND THREE MILE ABEAM AND AHEAD BERTH REQUESTED  2. CANCEL THIS MSG 26 OCT 20
"POLYGON ((33.633333333333333 70.11666666666666, 33.633333333333333 69.45, 34.45 69.45, 34.45 70.11666666666666, 33.633333333333333 70.11666666666666))",BARENTS SEA  CHART RUS 10100  1. MISSILE FIRING 0300 TO 1500 UTC DAILY FROM 19 TO 21 AND 24 OCT  NAVIGATION PROHIBITED IN TERRITORIAL WATERS DANGEROUS OUTSIDE IN AREA  70-07.0N 033-38.0E 70-07.0N 034-27.0E 69-27.0N 034-27.0E 69-27.0N 033-38.0E  2. CANCEL THIS MSG 241600 UTC OCT 20
"POLYGON ((52.5 74.783333333333331, 42.533333333333331 69.1, 43.416666666666664 68.88333333333334, 50.5 72.05, 49.533333333333331 72.3, 49.416666666666664 72.533333333333331, 50.583333333333336 72.416666666666671, 53.75 74.666666666666671, 52.5 74.783333333333331))",BARENTS SEA  CHART RUS 10100  1. SPECIAL ACTIVITIES 0500 TO 2400 UTC DAILY FROM 20 TO 24 OCT  IN AREAS DANGEROUS TO NAVIGATION BOUNDED BY  A. 72-18.0N 049-32.0E 72-03.0N 050-30.0E 68-53.0N 043-25.0E 69-06.0N 042-32.0E  B. 74-47.0N 052-30.0E 74-40.0N 053-45.0E 72-25.0N 050-35.0E 72-32.0N 049-25.0E  2. CANCEL THIS MSG 250100 UTC OCT 20
POINT (57.157833333333336 69.231833333333327),BARENTS SEA  CHART RUS 12016  AUTONOMOUS BOTTOM STATIONS ESTABLISHED IN  A. 69-13.91N 057-09.47E  B. 69-17.84N 057-25.33E  WGS84 DATUM  0.5 MILE BERTH REQUESTED
POINT (57.422166666666669 69.297333333333327),BARENTS SEA  CHART RUS 12016  AUTONOMOUS BOTTOM STATIONS ESTABLISHED IN  A. 69-13.91N 057-09.47E  B. 69-17.84N 057-25.33E  WGS84 DATUM  0.5 MILE BERTH REQUESTED
"POLYGON ((33.633333333333333 70.11666666666666, 33.633333333333333 69.45, 34.45 69.45, 34.45 70.11666666666666, 33.633333333333333 70.11666666666666))",BARENTS SEA  CHART RUS 10100  1. MISSILE FIRING 0300 TO 1500 UTC DAILY 26 TO 30 OCT  NAVIGATION PROHIBITED IN TERRITORIAL WATERS DANGEROUS OUTSIDE  IN AREA 70-07.0N 033-38.0E 70-07.0N 034-27.0E 69-27.0N 034-27.0E 69-27.0N 033-38.0E  2. CANCEL THIS MSG 301600 UTC OCT 20
"POLYGON ((34 70, 34 69.75, 38 69.75, 38 70.8, 36 70.8, 34 70))",BARENTS SEA  CHART RUS 10100  1. MISSILE FIRING 0700 TO 2100 UTC DAILY 27 TO 31 OCT  NAVIGATION PROHIBITED IN TERRITORIAL WATERS DANGEROUS OUTSIDE  IN AREA BOUNDED BY 70-48.0N 036-00.0E 70-48.0N 038-00.0E 69-45.0N 038-00.0E  69-45.0N 034-00.0E 70-00.0N 034-00.0E  2. CANCEL THIS MSG 312200 UTC OCT 20
"POLYGON ((134.70333333333335 43.06666666666667, 134.46 43.06666666666667, 134.23333333333332 42.95, 134.23333333333332 42.81666666666667, 134.70333333333335 42.81666666666667, 134.70333333333335 43.06666666666667))",NAVAREA XIII 116/20   SEA OF JAPAN   CHART RUS 63005   1. DEEPWATER DIVE 082100 TO 122100 UTC NOV IN AREA BOUNDED BY   42-57.0N 134-14.0E 43-04.0N 134-27.6E 43-04.0N 134-42.2E   42-49.0N 134-42.2E 42-49.0N 134-14.0E   2. CANCEL THIS MESSAGE 122200 UTC NOV 20
POINT (65.851166666666671 72.221833333333336),BARENTS AND KARA SEAS  1. TOWING DRILLING RIG NAN HAI BA HAO01 TO 08 NOV  FROM DRILLING POINT TO PORT OF MURMANSK ALONG THE ROUTE  72-13.31N 065-51.07E 70-42.70N 058-55.20E 70-35.60N 058-17.90E 70-25.90N 057-54.40E  70-15.90N 057-51.00E 70-14.50N 057-04.60E 69-32.20N 034-34.50E 69-32.20N 034-08.90E  69-20.30N 033-32.80E 69-18.70N 033-30.60E 69-11.90N 033-31.30E 69-10.10N 033-31.50E  69-09.70N 033-30.90E 69-07.50N 033-25.50E 69-06.80N 033-24.40E  69-05.10N 033-20.20E 69-04.00N 033-09.00E 69-03.70N 033-06.60E  WGS-84 DATUM  TWO MILE BERTH REQUESTED  2. CANCEL THIS MSG 09 NOV 20
POINT (58.92 70.711666666666673),BARENTS AND KARA SEAS  1. TOWING DRILLING RIG NAN HAI BA HAO01 TO 08 NOV  FROM DRILLING POINT TO PORT OF MURMANSK ALONG THE ROUTE  72-13.31N 065-51.07E 70-42.70N 058-55.20E 70-35.60N 058-17.90E 70-25.90N 057-54.40E  70-15.90N 057-51.00E 70-14.50N 057-04.60E 69-32.20N 034-34.50E 69-32.20N 034-08.90E  69-20.30N 033-32.80E 69-18.70N 033-30.60E 69-11.90N 033-31.30E 69-10.10N 033-31.50E  69-09.70N 033-30.90E 69-07.50N 033-25.50E 69-06.80N 033-24.40E  69-05.10N 033-20.20E 69-04.00N 033-09.00E 69-03.70N 033-06.60E  WGS-84 DATUM  TWO MILE BERTH REQUESTED  2. CANCEL THIS MSG 09 NOV 20
POINT (58.298333333333332 70.593333333333334),BARENTS AND KARA SEAS  1. TOWING DRILLING RIG NAN HAI BA HAO01 TO 08 NOV  FROM DRILLING POINT TO PORT OF MURMANSK ALONG THE ROUTE  72-13.31N 065-51.07E 70-42.70N 058-55.20E 70-35.60N 058-17.90E 70-25.90N 057-54.40E  70-15.90N 057-51.00E 70-14.50N 057-04.60E 69-32.20N 034-34.50E 69-32.20N 034-08.90E  69-20.30N 033-32.80E 69-18.70N 033-30.60E 69-11.90N 033-31.30E 69-10.10N 033-31.50E  69-09.70N 033-30.90E 69-07.50N 033-25.50E 69-06.80N 033-24.40E  69-05.10N 033-20.20E 69-04.00N 033-09.00E 69-03.70N 033-06.60E  WGS-84 DATUM  TWO MILE BERTH REQUESTED  2. CANCEL THIS MSG 09 NOV 20
POINT (57.906666666666666 70.431666666666672),BARENTS AND KARA SEAS  1. TOWING DRILLING RIG NAN HAI BA HAO01 TO 08 NOV  FROM DRILLING POINT TO PORT OF MURMANSK ALONG THE ROUTE  72-13.31N 065-51.07E 70-42.70N 058-55.20E 70-35.60N 058-17.90E 70-25.90N 057-54.40E  70-15.90N 057-51.00E 70-14.50N 057-04.60E 69-32.20N 034-34.50E 69-32.20N 034-08.90E  69-20.30N 033-32.80E 69-18.70N 033-30.60E 69-11.90N 033-31.30E 69-10.10N 033-31.50E  69-09.70N 033-30.90E 69-07.50N 033-25.50E 69-06.80N 033-24.40E  69-05.10N 033-20.20E 69-04.00N 033-09.00E 69-03.70N 033-06.60E  WGS-84 DATUM  TWO MILE BERTH REQUESTED  2. CANCEL THIS MSG 09 NOV 20
POINT (57.85 70.265),BARENTS AND KARA SEAS  1. TOWING DRILLING RIG NAN HAI BA HAO01 TO 08 NOV  FROM DRILLING POINT TO PORT OF MURMANSK ALONG THE ROUTE  72-13.31N 065-51.07E 70-42.70N 058-55.20E 70-35.60N 058-17.90E 70-25.90N 057-54.40E  70-15.90N 057-51.00E 70-14.50N 057-04.60E 69-32.20N 034-34.50E 69-32.20N 034-08.90E  69-20.30N 033-32.80E 69-18.70N 033-30.60E 69-11.90N 033-31.30E 69-10.10N 033-31.50E  69-09.70N 033-30.90E 69-07.50N 033-25.50E 69-06.80N 033-24.40E  69-05.10N 033-20.20E 69-04.00N 033-09.00E 69-03.70N 033-06.60E  WGS-84 DATUM  TWO MILE BERTH REQUESTED  2. CANCEL THIS MSG 09 NOV 20
POINT (57.076666666666668 70.24166666666666),BARENTS AND KARA SEAS  1. TOWING DRILLING RIG NAN HAI BA HAO01 TO 08 NOV  FROM DRILLING POINT TO PORT OF MURMANSK ALONG THE ROUTE  72-13.31N 065-51.07E 70-42.70N 058-55.20E 70-35.60N 058-17.90E 70-25.90N 057-54.40E  70-15.90N 057-51.00E 70-14.50N 057-04.60E 69-32.20N 034-34.50E 69-32.20N 034-08.90E  69-20.30N 033-32.80E 69-18.70N 033-30.60E 69-11.90N 033-31.30E 69-10.10N 033-31.50E  69-09.70N 033-30.90E 69-07.50N 033-25.50E 69-06.80N 033-24.40E  69-05.10N 033-20.20E 69-04.00N 033-09.00E 69-03.70N 033-06.60E  WGS-84 DATUM  TWO MILE BERTH REQUESTED  2. CANCEL THIS MSG 09 NOV 20
POINT (34.575 69.536666666666662),BARENTS AND KARA SEAS  1. TOWING DRILLING RIG NAN HAI BA HAO01 TO 08 NOV  FROM DRILLING POINT TO PORT OF MURMANSK ALONG THE ROUTE  72-13.31N 065-51.07E 70-42.70N 058-55.20E 70-35.60N 058-17.90E 70-25.90N 057-54.40E  70-15.90N 057-51.00E 70-14.50N 057-04.60E 69-32.20N 034-34.50E 69-32.20N 034-08.90E  69-20.30N 033-32.80E 69-18.70N 033-30.60E 69-11.90N 033-31.30E 69-10.10N 033-31.50E  69-09.70N 033-30.90E 69-07.50N 033-25.50E 69-06.80N 033-24.40E  69-05.10N 033-20.20E 69-04.00N 033-09.00E 69-03.70N 033-06.60E  WGS-84 DATUM  TWO MILE BERTH REQUESTED  2. CANCEL THIS MSG 09 NOV 20
POINT (34.148333333333333 69.536666666666662),BARENTS AND KARA SEAS  1. TOWING DRILLING RIG NAN HAI BA HAO01 TO 08 NOV  FROM DRILLING POINT TO PORT OF MURMANSK ALONG THE ROUTE  72-13.31N 065-51.07E 70-42.70N 058-55.20E 70-35.60N 058-17.90E 70-25.90N 057-54.40E  70-15.90N 057-51.00E 70-14.50N 057-04.60E 69-32.20N 034-34.50E 69-32.20N 034-08.90E  69-20.30N 033-32.80E 69-18.70N 033-30.60E 69-11.90N 033-31.30E 69-10.10N 033-31.50E  69-09.70N 033-30.90E 69-07.50N 033-25.50E 69-06.80N 033-24.40E  69-05.10N 033-20.20E 69-04.00N 033-09.00E 69-03.70N 033-06.60E  WGS-84 DATUM  TWO MILE BERTH REQUESTED  2. CANCEL THIS MSG 09 NOV 20
POINT (33.546666666666667 69.338333333333338),BARENTS AND KARA SEAS  1. TOWING DRILLING RIG NAN HAI BA HAO01 TO 08 NOV  FROM DRILLING POINT TO PORT OF MURMANSK ALONG THE ROUTE  72-13.31N 065-51.07E 70-42.70N 058-55.20E 70-35.60N 058-17.90E 70-25.90N 057-54.40E  70-15.90N 057-51.00E 70-14.50N 057-04.60E 69-32.20N 034-34.50E 69-32.20N 034-08.90E  69-20.30N 033-32.80E 69-18.70N 033-30.60E 69-11.90N 033-31.30E 69-10.10N 033-31.50E  69-09.70N 033-30.90E 69-07.50N 033-25.50E 69-06.80N 033-24.40E  69-05.10N 033-20.20E 69-04.00N 033-09.00E 69-03.70N 033-06.60E  WGS-84 DATUM  TWO MILE BERTH REQUESTED  2. CANCEL THIS MSG 09 NOV 20
POINT (33.51 69.311666666666667),BARENTS AND KARA SEAS  1. TOWING DRILLING RIG NAN HAI BA HAO01 TO 08 NOV  FROM DRILLING POINT TO PORT OF MURMANSK ALONG THE ROUTE  72-13.31N 065-51.07E 70-42.70N 058-55.20E 70-35.60N 058-17.90E 70-25.90N 057-54.40E  70-15.90N 057-51.00E 70-14.50N 057-04.60E 69-32.20N 034-34.50E 69-32.20N 034-08.90E  69-20.30N 033-32.80E 69-18.70N 033-30.60E 69-11.90N 033-31.30E 69-10.10N 033-31.50E  69-09.70N 033-30.90E 69-07.50N 033-25.50E 69-06.80N 033-24.40E  69-05.10N 033-20.20E 69-04.00N 033-09.00E 69-03.70N 033-06.60E  WGS-84 DATUM  TWO MILE BERTH REQUESTED  2. CANCEL THIS MSG 09 NOV 20
POINT (33.521666666666668 69.198333333333338),BARENTS AND KARA SEAS  1. TOWING DRILLING RIG NAN HAI BA HAO01 TO 08 NOV  FROM DRILLING POINT TO PORT OF MURMANSK ALONG THE ROUTE  72-13.31N 065-51.07E 70-42.70N 058-55.20E 70-35.60N 058-17.90E 70-25.90N 057-54.40E  70-15.90N 057-51.00E 70-14.50N 057-04.60E 69-32.20N 034-34.50E 69-32.20N 034-08.90E  69-20.30N 033-32.80E 69-18.70N 033-30.60E 69-11.90N 033-31.30E 69-10.10N 033-31.50E  69-09.70N 033-30.90E 69-07.50N 033-25.50E 69-06.80N 033-24.40E  69-05.10N 033-20.20E 69-04.00N 033-09.00E 69-03.70N 033-06.60E  WGS-84 DATUM  TWO MILE BERTH REQUESTED  2. CANCEL THIS MSG 09 NOV 20
POINT (33.525 69.168333333333337),BARENTS AND KARA SEAS  1. TOWING DRILLING RIG NAN HAI BA HAO01 TO 08 NOV  FROM DRILLING POINT TO PORT OF MURMANSK ALONG THE ROUTE  72-13.31N 065-51.07E 70-42.70N 058-55.20E 70-35.60N 058-17.90E 70-25.90N 057-54.40E  70-15.90N 057-51.00E 70-14.50N 057-04.60E 69-32.20N 034-34.50E 69-32.20N 034-08.90E  69-20.30N 033-32.80E 69-18.70N 033-30.60E 69-11.90N 033-31.30E 69-10.10N 033-31.50E  69-09.70N 033-30.90E 69-07.50N 033-25.50E 69-06.80N 033-24.40E  69-05.10N 033-20.20E 69-04.00N 033-09.00E 69-03.70N 033-06.60E  WGS-84 DATUM  TWO MILE BERTH REQUESTED  2. CANCEL THIS MSG 09 NOV 20
POINT (33.515 69.161666666666662),BARENTS AND KARA SEAS  1. TOWING DRILLING RIG NAN HAI BA HAO01 TO 08 NOV  FROM DRILLING POINT TO PORT OF MURMANSK ALONG THE ROUTE  72-13.31N 065-51.07E 70-42.70N 058-55.20E 70-35.60N 058-17.90E 70-25.90N 057-54.40E  70-15.90N 057-51.00E 70-14.50N 057-04.60E 69-32.20N 034-34.50E 69-32.20N 034-08.90E  69-20.30N 033-32.80E 69-18.70N 033-30.60E 69-11.90N 033-31.30E 69-10.10N 033-31.50E  69-09.70N 033-30.90E 69-07.50N 033-25.50E 69-06.80N 033-24.40E  69-05.10N 033-20.20E 69-04.00N 033-09.00E 69-03.70N 033-06.60E  WGS-84 DATUM  TWO MILE BERTH REQUESTED  2. CANCEL THIS MSG 09 NOV 20
POINT (33.425 69.125),BARENTS AND KARA SEAS  1. TOWING DRILLING RIG NAN HAI BA HAO01 TO 08 NOV  FROM DRILLING POINT TO PORT OF MURMANSK ALONG THE ROUTE  72-13.31N 065-51.07E 70-42.70N 058-55.20E 70-35.60N 058-17.90E 70-25.90N 057-54.40E  70-15.90N 057-51.00E 70-14.50N 057-04.60E 69-32.20N 034-34.50E 69-32.20N 034-08.90E  69-20.30N 033-32.80E 69-18.70N 033-30.60E 69-11.90N 033-31.30E 69-10.10N 033-31.50E  69-09.70N 033-30.90E 69-07.50N 033-25.50E 69-06.80N 033-24.40E  69-05.10N 033-20.20E 69-04.00N 033-09.00E 69-03.70N 033-06.60E  WGS-84 DATUM  TWO MILE BERTH REQUESTED  2. CANCEL THIS MSG 09 NOV 20
POINT (33.406666666666666 69.11333333333333),BARENTS AND KARA SEAS  1. TOWING DRILLING RIG NAN HAI BA HAO01 TO 08 NOV  FROM DRILLING POINT TO PORT OF MURMANSK ALONG THE ROUTE  72-13.31N 065-51.07E 70-42.70N 058-55.20E 70-35.60N 058-17.90E 70-25.90N 057-54.40E  70-15.90N 057-51.00E 70-14.50N 057-04.60E 69-32.20N 034-34.50E 69-32.20N 034-08.90E  69-20.30N 033-32.80E 69-18.70N 033-30.60E 69-11.90N 033-31.30E 69-10.10N 033-31.50E  69-09.70N 033-30.90E 69-07.50N 033-25.50E 69-06.80N 033-24.40E  69-05.10N 033-20.20E 69-04.00N 033-09.00E 69-03.70N 033-06.60E  WGS-84 DATUM  TWO MILE BERTH REQUESTED  2. CANCEL THIS MSG 09 NOV 20
POINT (33.336666666666666 69.085),BARENTS AND KARA SEAS  1. TOWING DRILLING RIG NAN HAI BA HAO01 TO 08 NOV  FROM DRILLING POINT TO PORT OF MURMANSK ALONG THE ROUTE  72-13.31N 065-51.07E 70-42.70N 058-55.20E 70-35.60N 058-17.90E 70-25.90N 057-54.40E  70-15.90N 057-51.00E 70-14.50N 057-04.60E 69-32.20N 034-34.50E 69-32.20N 034-08.90E  69-20.30N 033-32.80E 69-18.70N 033-30.60E 69-11.90N 033-31.30E 69-10.10N 033-31.50E  69-09.70N 033-30.90E 69-07.50N 033-25.50E 69-06.80N 033-24.40E  69-05.10N 033-20.20E 69-04.00N 033-09.00E 69-03.70N 033-06.60E  WGS-84 DATUM  TWO MILE BERTH REQUESTED  2. CANCEL THIS MSG 09 NOV 20
